"Year" "Month" "County" "Count"
2009 7 "Sacramento" 37
2009 8 "Sacramento" 34
2009 9 "Sacramento" 36
2009 10 "Sacramento" 47
2009 11 "Sacramento" 45
2009 12 "Sacramento" 44
2009 1 "San Bernardino" 74
2009 2 "San Bernardino" 83
2009 3 "San Bernardino" 78
2009 4 "San Bernardino" 61
2009 5 "San Bernardino" 70
2009 6 "San Bernardino" 64
2009 7 "San Bernardino" 61
2009 8 "San Bernardino" 76
2009 9 "San Bernardino" 60
2009 10 "San Bernardino" 69
2009 11 "San Bernardino" 77
2009 12 "San Bernardino" 68
2009 1 "San Diego" 88
2009 2 "San Diego" 81
2009 3 "San Diego" 121
2009 4 "San Diego" 93
2009 5 "San Diego" 77
2009 6 "San Diego" 69
2009 7 "San Diego" 70
2009 8 "San Diego" 70
2009 9 "San Diego" 62
2009 10 "San Diego" 69
2009 11 "San Diego" 98
2009 12 "San Diego" 81
2009 1 "Santa Clara" 46
2009 2 "Santa Clara" 42
2009 3 "Santa Clara" 41
2009 4 "Santa Clara" 43
2009 5 "Santa Clara" 39
2009 6 "Santa Clara" 35
2009 7 "Santa Clara" 30
2009 8 "Santa Clara" 30
2009 9 "Santa Clara" 18
2009 10 "Santa Clara" 39
2009 11 "Santa Clara" 31
2009 12 "Santa Clara" 41
2010 1 "Alameda" 41
2010 2 "Alameda" 30
2010 3 "Alameda" 43
2010 4 "Alameda" 33
2010 5 "Alameda" 39
2010 6 "Alameda" 25
2010 7 "Alameda" 27
2010 8 "Alameda" 36
2010 9 "Alameda" 29
2010 10 "Alameda" 35
2010 11 "Alameda" 30
2010 12 "Alameda" 33
2010 1 "Los Angeles" 273
2010 2 "Los Angeles" 262
2010 3 "Los Angeles" 291
2010 4 "Los Angeles" 244
2010 5 "Los Angeles" 253
2010 6 "Los Angeles" 179
2010 7 "Los Angeles" 206
2010 8 "Los Angeles" 226
2010 9 "Los Angeles" 218
2010 10 "Los Angeles" 190
2010 11 "Los Angeles" 230
2010 12 "Los Angeles" 231
2010 1 "Orange" 98
2010 2 "Orange" 91
2010 3 "Orange" 96
2010 4 "Orange" 87
2010 5 "Orange" 74
2010 6 "Orange" 82
2010 7 "Orange" 84
2010 8 "Orange" 74
2010 9 "Orange" 61
2010 10 "Orange" 71
2010 11 "Orange" 67
2010 12 "Orange" 82
2010 1 "Riverside" 88
2010 2 "Riverside" 87
2010 3 "Riverside" 89
2010 4 "Riverside" 83
2010 5 "Riverside" 79
2010 6 "Riverside" 64
2010 7 "Riverside" 65
2010 8 "Riverside" 64
2010 9 "Riverside" 64
2010 10 "Riverside" 56
2010 11 "Riverside" 68
2010 12 "Riverside" 91
2010 1 "Sacramento" 74
2010 2 "Sacramento" 64
2010 3 "Sacramento" 73
2010 4 "Sacramento" 51
2010 5 "Sacramento" 65
2010 6 "Sacramento" 34
2010 7 "Sacramento" 41
2010 8 "Sacramento" 41
2010 9 "Sacramento" 42
2010 10 "Sacramento" 49
2010 11 "Sacramento" 43
2010 12 "Sacramento" 61
2010 1 "San Bernardino" 79
2010 2 "San Bernardino" 68
2010 3 "San Bernardino" 84
2010 4 "San Bernardino" 85
2010 5 "San Bernardino" 85
2010 6 "San Bernardino" 51
2010 7 "San Bernardino" 74
2010 8 "San Bernardino" 68
2010 9 "San Bernardino" 63
2010 10 "San Bernardino" 57
2010 11 "San Bernardino" 66
2010 12 "San Bernardino" 63
2010 1 "San Diego" 115
2010 2 "San Diego" 95
2010 3 "San Diego" 121
2010 4 "San Diego" 108
2010 5 "San Diego" 98
2010 6 "San Diego" 83
2010 7 "San Diego" 88
2010 8 "San Diego" 81
2010 9 "San Diego" 68
2010 10 "San Diego" 75
2010 11 "San Diego" 65
2010 12 "San Diego" 97
2010 1 "Santa Clara" 64
2010 2 "Santa Clara" 41
2010 3 "Santa Clara" 41
2010 4 "Santa Clara" 40
2010 5 "Santa Clara" 40
2010 6 "Santa Clara" 37
2010 7 "Santa Clara" 22
2010 8 "Santa Clara" 24
2010 9 "Santa Clara" 22
2010 10 "Santa Clara" 39
2010 11 "Santa Clara" 34
2010 12 "Santa Clara" 41
2011 1 "Alameda" 41
2011 2 "Alameda" 39
2011 3 "Alameda" 42
2011 4 "Alameda" 36
2011 5 "Alameda" 32
2011 6 "Alameda" 41
2011 7 "Alameda" 40
2011 8 "Alameda" 33
2011 9 "Alameda" 33
2011 10 "Alameda" 33
2011 11 "Alameda" 28
2011 12 "Alameda" 36
2011 1 "Los Angeles" 304
2011 2 "Los Angeles" 282
2011 3 "Los Angeles" 336
2011 4 "Los Angeles" 307
2011 5 "Los Angeles" 254
2011 6 "Los Angeles" 223
2011 7 "Los Angeles" 229
2011 8 "Los Angeles" 227
2011 9 "Los Angeles" 175
2011 10 "Los Angeles" 237
2011 11 "Los Angeles" 227
2011 12 "Los Angeles" 281
2011 1 "Orange" 89
2011 2 "Orange" 101
2011 3 "Orange" 108
2011 4 "Orange" 92
2011 5 "Orange" 73
2011 6 "Orange" 67
2011 7 "Orange" 64
2011 8 "Orange" 78
2011 9 "Orange" 65
2011 10 "Orange" 88
2011 11 "Orange" 75
2011 12 "Orange" 96
2011 1 "Riverside" 84
2011 2 "Riverside" 106
2011 3 "Riverside" 107
2011 4 "Riverside" 77
2011 5 "Riverside" 75
2011 6 "Riverside" 83
2011 7 "Riverside" 71
2011 8 "Riverside" 79
2011 9 "Riverside" 80
2011 10 "Riverside" 67
2011 11 "Riverside" 70
2011 12 "Riverside" 81
2011 1 "Sacramento" 54
2011 2 "Sacramento" 66
2011 3 "Sacramento" 61
2011 4 "Sacramento" 49
2011 5 "Sacramento" 55
2011 6 "Sacramento" 41
2011 7 "Sacramento" 52
2011 8 "Sacramento" 31
2011 9 "Sacramento" 42
2011 10 "Sacramento" 43
2011 11 "Sacramento" 44
2011 12 "Sacramento" 46
2011 1 "San Bernardino" 69
2011 2 "San Bernardino" 112
2011 3 "San Bernardino" 91
2011 4 "San Bernardino" 66
2011 5 "San Bernardino" 68
2011 6 "San Bernardino" 77
2011 7 "San Bernardino" 76
2011 8 "San Bernardino" 59
2011 9 "San Bernardino" 42
2011 10 "San Bernardino" 59
2011 11 "San Bernardino" 63
2011 12 "San Bernardino" 72
2011 1 "San Diego" 134
2011 2 "San Diego" 95
2011 3 "San Diego" 123
2011 4 "San Diego" 81
2011 5 "San Diego" 84
2011 6 "San Diego" 83
2011 7 "San Diego" 78
2011 8 "San Diego" 79
2011 9 "San Diego" 72
2011 10 "San Diego" 67
2011 11 "San Diego" 61
2011 12 "San Diego" 111
2011 1 "Santa Clara" 46
2011 2 "Santa Clara" 45
2011 3 "Santa Clara" 38
2011 4 "Santa Clara" 39
2011 5 "Santa Clara" 45
2011 6 "Santa Clara" 28
2011 7 "Santa Clara" 31
2011 8 "Santa Clara" 26
2011 9 "Santa Clara" 27
2011 10 "Santa Clara" 28
2011 11 "Santa Clara" 32
2011 12 "Santa Clara" 42
2012 1 "Alameda" 36
2012 2 "Alameda" 56
2012 3 "Alameda" 45
2012 4 "Alameda" 29
